Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
SRR7229832	0.626	0.000401	286.8	0.597	0.368	3.34	8.01	19982.0	285.0	0.147	0.403	2.08	3.00	0.904
SRR7229833	0.268	0.000564	163.9	0.848	0.476	7.90	11.2	19951.0	162.0	0.368	0.152	2.42	3.49	1.05
SRR7229834	0.246	0.000615	243.3	0.871	0.476	9.05	12.3	20018.0	196.0	0.543	0.129	2.51	3.62	1.09
SRR7229835	0.155	0.000873	269.9	0.913	0.547	13.3	17.5	20025.0	187.0	0.548	0.0869	2.86	4.13	1.24
SRR7229836	0.351	0.00047	437.3	0.778	0.372	5.52	9.44	20071.0	414.0	0.593	0.222	2.24	3.24	0.975
SRR7229837	0.752	0.000157	139.2	0.423	0.232	2.04	3.12	19960.0	135.0	0.382	0.577	1.14	1.64	0.495
SRR7229838	0.766	0.000157	175.8	0.404	0.223	1.98	3.14	20015.0	168.0	0.515	0.596	1.14	1.65	0.497
SRR7229839	0.648	0.00026	138.7	0.565	0.336	2.92	5.18	19931.0	134.0	0.363	0.435	1.64	2.37	0.714
SRR7229840	0.733	0.000191	130.9	0.454	0.277	2.24	3.81	19957.0	126.0	0.394	0.546	1.34	1.93	0.581
SRR7229841	0.613	0.000177	84.2	0.571	0.288	2.66	3.53	19947.0	80.0	0.395	0.429	1.26	1.82	0.548
SRR7229842	0.453	0.000351	333.1	0.729	0.339	4.45	7.06	20095.0	319.0	0.631	0.271	1.95	2.82	0.849
SRR7229843	0.390	0.000681	378.3	0.811	0.443	7.17	13.7	20102.0	368.0	0.480	0.189	2.62	3.77	1.14
SRR7229844	0.321	0.00141	533.9	0.876	0.533	12.4	28.2	20041.0	527.0	0.479	0.124	3.34	4.82	1.45
SRR7229845	0.399	0.000325	132.8	0.719	0.383	4.23	6.48	19959.0	132.0	0.308	0.281	1.87	2.70	0.812
SRR7229846	0.386	0.000918	255.8	0.832	0.536	8.89	18.4	20039.0	228.0	0.424	0.168	2.91	4.20	1.26
SRR7229847	0.242	0.000652	262.4	0.863	0.465	8.86	13.1	20044.0	251.0	0.567	0.137	2.57	3.71	1.12
SRR8074452	0.0536	0.00634	519.6	0.985	0.774	85.6	126.6	19967.0	519.0	0.160	0.0152	4.84	6.98	2.10
SRR8074453	0.095	0.00497	513.0	0.969	0.737	50.6	99.4	20005.0	513.0	0	0.0308	4.60	6.64	2.00
SRR8074454	0.0609	0.00569	558.0	0.982	0.749	74.0	114.1	20038.0	557.0	0.194	0.0177	4.74	6.83	2.06
SRR8074455	0.0868	0.00441	506.5	0.975	0.719	53.3	87.9	19928.0	504.0	0.246	0.0255	4.48	6.46	1.94
SRR8074456	0.0898	0.00693	676.0	0.980	0.756	76.5	137.9	19899.0	674.0	0.222	0.0199	4.93	7.11	2.14
SRR8074457	0.0909	0.00529	604.8	0.976	0.729	60.9	106.0	20028.0	602.0	0.289	0.0238	4.66	6.73	2.03
SRR8074458	0.0708	0.00607	647.9	0.980	0.743	71.9	121.3	19994.0	640.0	0.348	0.0198	4.80	6.92	2.08
SRR8074459	0.126	0.00448	516.7	0.969	0.720	49.4	89.3	19953.0	514.0	0.250	0.0306	4.49	6.48	1.95
SRR8074460	0.0532	0.00566	612.6	0.982	0.738	73.7	113.3	20028.0	610.0	0.314	0.0176	4.73	6.82	2.05
SRR8074461	0.100	0.00493	569.7	0.974	0.725	56.6	98.7	20019.0	565.0	0.286	0.0256	4.59	6.62	1.99
SRR8074474	0.0691	0.00558	620.3	0.979	0.734	66.2	111.4	19982.0	616.0	0.313	0.0212	4.71	6.80	2.05
SRR8074475	0.107	0.00354	464.3	0.966	0.694	41.3	71.0	20026.0	464.0	0.159	0.0335	4.26	6.15	1.85
SRR8074476	0.0435	0.00836	702.1	0.988	0.782	108.0	167.0	19990.0	698.0	0.266	0.0123	5.12	7.38	2.22
SRR8074477	0.167	0.00435	548.3	0.959	0.708	41.6	86.9	19949.0	546.0	0.267	0.0408	4.46	6.44	1.94
SRR8074480	0.0689	0.00511	578.4	0.978	0.728	62.6	102.2	19984.0	576.0	0.274	0.0217	4.63	6.68	2.01
SRR8074512	0.0471	0.00565	457.0	0.983	0.772	74.3	113.2	20043.0	457.0	0	0.0175	4.73	6.82	2.05
SRR8074513	0.0528	0.00789	771.7	0.986	0.763	97.9	158.6	20106.0	768.0	0.295	0.014	5.07	7.31	2.20
SRR8074514	0.0871	0.00584	625.0	0.976	0.740	62.3	117.0	20039.0	624.0	0.187	0.0245	4.76	6.87	2.07
SRR8074515	0.0561	0.00531	581.7	0.979	0.733	65.1	106.1	19962.0	581.0	0.215	0.0207	4.66	6.73	2.03
SRR8074516	0.135	0.00437	422.0	0.964	0.739	43.8	87.1	19948.0	422.0	0	0.0362	4.47	6.44	1.94
SRR8074517	0.146	0.00469	601.4	0.964	0.710	45.8	93.7	19957.0	600.0	0.215	0.0357	4.54	6.55	1.97
SRR8074518	0.0881	0.00776	607.0	0.983	0.787	90.6	155.1	19985.0	607.0	0.229	0.017	5.04	7.28	2.19
SRR8074519	0.0971	0.00547	636.3	0.975	0.727	59.9	109.2	19976.0	635.0	0.228	0.0246	4.69	6.77	2.04
SRR8074520	0.0562	0.00615	622.4	0.983	0.749	79.3	123.2	20021.0	619.0	0.269	0.0167	4.81	6.95	2.09
SRR8074521	0.0731	0.00497	572.6	0.976	0.725	58.4	99.1	19943.0	569.0	0.263	0.0239	4.60	6.63	2.00
SRR8074522	0.058	0.00806	755.5	0.986	0.767	97.0	161.4	20015.0	755.0	0.206	0.0145	5.08	7.33	2.21
SRR8074523	0.045	0.00605	567.6	0.984	0.756	80.4	120.6	19944.0	566.0	0.254	0.0159	4.79	6.91	2.08
SRR8074524	0.0547	0.00729	547.0	0.986	0.791	96.4	146.1	20038.0	547.0	0	0.0137	4.98	7.19	2.16
SRR8074525	0.075	0.00608	574.0	0.982	0.755	75.8	121.3	19954.0	574.0	0.277	0.018	4.80	6.92	2.08
SRR8074526	0.103	0.00509	592.7	0.975	0.724	58.7	101.6	19952.0	589.0	0.285	0.0245	4.62	6.67	2.01
SRR8074527	0.0391	0.00676	672.4	0.985	0.754	87.5	135.6	20064.0	671.0	0.229	0.0147	4.91	7.08	2.13
SRR8074528	0.093	0.00403	207.0	0.973	0.823	51.4	80.6	19984.0	207.0	0	0.0273	4.39	6.33	1.91
SRR8074529	0.142	0.00386	511.0	0.961	0.697	39.5	77.1	19984.0	511.0	0.240	0.0389	4.34	6.27	1.89
SRR8074530	0.0685	0.00529	536.0	0.979	0.741	65.2	105.3	19892.0	536.0	0.261	0.0207	4.66	6.72	2.02
SRR8074531	0.0607	0.00626	489.0	0.983	0.780	78.8	125.3	20009.0	489.0	0	0.0175	4.83	6.97	2.10
